City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Khorramabad,IR,90.43,clear sky,33.4878,48.3558,
1,Vaini,TO,71.76,few clouds,-21.2,-175.2,
3,Victoria,HK,84.38,few clouds,22.2855,114.1577,
4,Hilo,US,69.8,light rain,19.7297,-155.09,
6,Hermanus,ZA,68.49,clear sky,-34.4187,19.2345,
7,Palmerston,AU,73.38,clear sky,-12.485999999999999,130.9833,
8,Kahului,US,74.84,broken clouds,20.8947,-156.47,
14,Atuona,PF,79.09,broken clouds,-9.8,-139.0333,
15,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,
17,Rikitea,PF,76.41,light rain,-23.1203,-134.9692,
19,Butaritari,KI,81.36,light rain,3.0707,172.7902,
20,Jamestown,US,81.01,clear sky,42.097,-79.2353,
21,Castro,BR,73.76,overcast clouds,-24.7911,-50.0119,
24,Bredasdorp,ZA,64.98,few clouds,-34.5322,20.0403,
28,Fenelon Falls,CA,81.63,overcast clouds,44.5334,-78.7496,
29,Santa Fe,AR,60.03,clear sky,-31.6333,-60.7,
30,Ternovka,RU,64.17,moderate rain,51.678000000000004,41.6375,
32,Karratha,AU,75.94,overcast clouds,-20.7377,116.8463,
35,Luwuk,ID,77.07,overcast clouds,-0.9516,122.7875,
36,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,
37,Saint-Pierre,RE,74.88,broken clouds,-21.3393,55.4781,
38,Kavaratti,IN,82.62,overcast clouds,10.5669,72.642,
39,Puri,IN,90.37,overcast clouds,19.8,85.85,
44,Velizh,RU,70.2,few clouds,55.6056,31.1967,
45,Hit,IQ,97.75,clear sky,33.6416,42.8251,
46,Port Alfred,ZA,67.19,clear sky,-33.5906,26.891,
47,Cidreira,BR,63.63,overcast clouds,-30.1811,-50.2056,
48,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,
50,Kapaa,US,75.52,light rain,22.0752,-159.319,
51,Sinazongwe,ZM,71.33,broken clouds,-17.2614,27.4618,
52,Moerai,PF,74.84,broken clouds,-22.4333,-151.3333,
53,Sana,YE,79.66,broken clouds,15.3547,44.2067,
54,Molango,MX,72.73,overcast clouds,20.7833,-98.7167,
56,Dalvik,IS,62.53,overcast clouds,65.9702,-18.5286,
58,Albany,US,85.32,broken clouds,42.6001,-73.9662,
59,Ribeira Grande,PT,68.4,scattered clouds,38.5167,-28.7,
64,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,
65,Bandarbeyla,SO,81.36,clear sky,9.4942,50.8122,
68,Omboue,GA,81.28,light rain,-1.5746,9.2618,
69,Salalah,OM,87.89,scattered clouds,17.0151,54.0924,
70,Avarua,CK,68.05,few clouds,-21.2078,-159.775,
72,Longhua,CN,79.27,broken clouds,23.6137,114.1919,
73,Gambo,CF,73.18,overcast clouds,4.6482,22.2633,
75,Rovaniemi,FI,69.21,clear sky,66.5,25.7167,
76,Isangel,VU,72.01,overcast clouds,-19.55,169.2667,
77,Carnarvon,AU,66.27,overcast clouds,-24.8667,113.6333,
80,Zhanaozen,KZ,76.66,broken clouds,43.3,52.8,
81,Nikolskoye,RU,76.89,clear sky,59.7035,30.7861,
83,Medeiros Neto,BR,81.21,scattered clouds,-17.3739,-40.2206,
85,Pisco,PE,62.65,mist,-13.7,-76.2167,
87,Bolobo,CD,84.27,broken clouds,-2.1667,16.2333,
88,Baijiantan,CN,72.45,clear sky,45.6333,85.1833,
90,Nantucket,US,87.91,clear sky,41.2835,-70.0995,
92,Maniwaki,CA,75.74,broken clouds,46.3834,-75.96600000000001,
93,Port Hedland,AU,71.65,overcast clouds,-20.3167,118.5667,
94,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,
95,Hasaki,JP,68.29,overcast clouds,35.7333,140.8333,
96,Poum,NC,72.5,overcast clouds,-20.2333,164.0167,
98,Nizhniy Baskunchak,RU,75.56,broken clouds,48.2198,46.8311,
99,Jiuquan,CN,69.94,overcast clouds,39.7432,98.5174,
103,Uray,RU,66.43,light rain,60.1247,64.7758,
105,Indiana,US,80.92,scattered clouds,40.0003,-86.2503,
106,Hithadhoo,MV,83.64,broken clouds,-0.6,73.0833,
108,Saint-Ambroise,CA,65.89,broken clouds,48.5501,-71.3324,
109,Guiratinga,BR,83.61,overcast clouds,-16.3494,-53.7583,
111,Sudak,UA,65.43,overcast clouds,44.85,34.9667,
114,Medea,DZ,66.65,scattered clouds,36.2642,2.7539,
115,Cape Town,ZA,81.1,clear sky,-33.9258,18.4232,
116,Fukue,JP,69.1,overcast clouds,32.6881,128.8419,
118,Solano,US,66.29,clear sky,38.2333,-121.9511,
122,Yarmouth,US,89.11,clear sky,41.7057,-70.2286,
123,San Vicente,AR,60.75,moderate rain,-26.6167,-54.1333,
124,Awbari,LY,99.9,scattered clouds,26.5921,12.7805,
125,Guane,CU,87.84,scattered clouds,22.2025,-84.0875,
127,Asmara,ER,72.77,few clouds,15.3333,38.9333,
128,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,
129,Taixing,CN,81.0,light rain,32.1667,120.0136,
133,Lagoa,PT,64.26,overcast clouds,39.05,-27.9833,
134,Meulaboh,ID,77.81,light rain,4.1363,96.1285,
135,Virginia Beach,US,87.04,few clouds,36.8529,-75.97800000000001,
136,Griffith,US,83.05,clear sky,41.5284,-87.4237,
138,Pimentel,PE,68.29,overcast clouds,-6.8367,-79.9342,
141,Gamboma,CG,85.59,scattered clouds,-1.8764,15.8644,
142,Sur,OM,88.09,clear sky,22.5667,59.5289,
143,Khorol,UA,64.56,light rain,49.7837,33.2783,
144,Harper,LR,83.08,light rain,4.375,-7.7169,
148,Kochevo,RU,70.39,few clouds,59.5994,54.3125,
150,Georgetown,MY,82.35,few clouds,5.4112,100.3354,
151,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,
153,Staraya Kulatka,RU,67.28,broken clouds,52.7167,47.6167,
154,Tiarei,PF,77.02,clear sky,-17.5333,-149.3333,
156,Inongo,CD,72.07,moderate rain,-1.95,18.2667,
161,San Lazaro,BZ,87.66,overcast clouds,18.0387,-88.6622,
162,Fria,GN,94.41,overcast clouds,10.4167,-13.5833,
163,Buinsk,RU,73.29,scattered clouds,54.95,48.2833,
164,Barbastro,ES,80.13,broken clouds,42.0356,0.1269,
168,East London,ZA,68.94,clear sky,-33.0153,27.9116,
169,Capinopolis,BR,84.27,overcast clouds,-18.6819,-49.5697,
171,Margate,GB,70.86,scattered clouds,51.3813,1.3862,
172,Mumford,GH,83.21,overcast clouds,5.2618,-0.759,
173,Hwange,ZW,69.87,broken clouds,-18.3693,26.5019,
174,Samarai,PG,77.72,heavy intensity rain,-10.6167,150.6667,
175,Ajdabiya,LY,80.94,clear sky,30.7554,20.2263,
176,Vryburg,ZA,60.44,clear sky,-26.9566,24.7284,
177,Isiro,CD,73.63,light rain,2.7739,27.616,
178,Bud,US,78.13,overcast clouds,39.446999999999996,-86.1758,
179,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,
180,Port-Gentil,GA,84.16,scattered clouds,-0.7193,8.7815,
182,Honiara,SB,77.36,few clouds,-9.4333,159.95,
183,Lorengau,PG,79.52,overcast clouds,-2.0226,147.2712,
185,Itarema,BR,87.87,few clouds,-2.9248,-39.9167,
186,Houma,US,82.99,overcast clouds,29.5958,-90.7195,
187,Mbandaka,CD,75.31,light rain,0.0487,18.2603,
188,San Quintin,MX,71.44,overcast clouds,30.4833,-115.95,
189,Hamilton,US,80.73,broken clouds,39.1834,-84.5333,
190,Canutama,BR,82.22,overcast clouds,-6.5339,-64.3831,
193,Albacete,ES,78.19,few clouds,38.8333,-2.0,
194,Gohad,IN,98.56,scattered clouds,26.4261,78.4447,
195,Planeta Rica,CO,82.4,overcast clouds,8.4147,-75.5883,
196,Komsomolskiy,UZ,95.72,scattered clouds,40.4272,71.7189,
197,Dingle,PH,77.54,light rain,10.9995,122.6711,
199,Puerto Leguizamo,CO,82.58,overcast clouds,-0.1934,-74.7819,
201,Cabo San Lucas,MX,88.81,broken clouds,22.8909,-109.9124,
202,Cangzhou,CN,78.87,light rain,38.3167,116.8667,
203,Jieshi,CN,78.37,scattered clouds,22.8134,115.8257,
204,Jinka,ET,72.86,broken clouds,5.65,36.65,
206,Naze,JP,68.27,moderate rain,28.3667,129.4833,
209,Praia Da Vitoria,PT,71.85,scattered clouds,38.7333,-27.0667,
210,Zhangjiakou,CN,70.84,overcast clouds,40.81,114.8794,
215,Faanui,PF,80.67,clear sky,-16.4833,-151.75,
216,Gushikawa,JP,78.8,heavy intensity rain,26.3544,127.8686,
217,Padang,ID,77.72,overcast clouds,-0.9492,100.3543,
218,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,
221,Cairo,EG,88.56,clear sky,30.0626,31.2497,
223,Yerky,UA,63.52,overcast clouds,48.9906,30.9882,
224,Ilhabela,BR,82.42,overcast clouds,-23.7781,-45.3581,
225,Soligalich,RU,76.06,few clouds,59.0778,42.2864,
228,Louga,RU,71.55,overcast clouds,58.7372,29.8453,
229,Shelburne,CA,80.56,overcast clouds,44.0787,-80.2041,
230,Bethel,US,88.88,clear sky,41.3712,-73.414,
231,Sorland,NO,69.87,clear sky,67.667,12.6934,
232,Erzin,TR,88.32,clear sky,36.9559,36.2,
233,Murrhardt,DE,66.2,light rain,48.9819,9.5705,
234,Yenangyaung,MM,83.19,light rain,20.4667,94.8833,
235,Gien,FR,71.78,overcast clouds,47.6933,2.6309,
236,Gizo,SB,81.79,light rain,-8.103,156.8419,
237,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,
238,Vangaindrano,MG,66.02,moderate rain,-23.35,47.6,
240,Kovdor,RU,60.19,few clouds,67.5662,30.4758,
242,Guerrero Negro,MX,63.99,overcast clouds,27.9769,-114.0611,
244,Kieta,PG,78.33,light rain,-6.2167,155.6333,
245,Ahipara,NZ,60.75,overcast clouds,-35.1667,173.1667,
247,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,
250,Ambulu,ID,76.68,broken clouds,-8.345,113.6058,
251,Namibe,AO,84.83,clear sky,-15.1961,12.1522,
252,Morondava,MG,77.94,few clouds,-20.2833,44.2833,
253,Koumac,NC,69.19,overcast clouds,-20.5667,164.2833,
255,Boende,CD,72.91,overcast clouds,-0.2167,20.8667,
257,Jalu,LY,91.0,clear sky,29.0331,21.5482,
258,Cabral,DO,82.26,scattered clouds,18.25,-71.2167,
259,Jatiroto,ID,74.71,broken clouds,-7.8833,111.1167,
260,Bac Lieu,VN,84.63,overcast clouds,9.285,105.7244,
261,Kathu,TH,86.63,broken clouds,7.9178,98.3332,
262,Durban,ZA,68.92,clear sky,-29.8579,31.0292,
263,Ambilobe,MG,74.71,moderate rain,-13.2,49.05,
265,Gondanglegi,ID,75.85,broken clouds,-7.7479,112.0132,
266,Ixtapa,MX,80.22,broken clouds,20.7,-105.2,
269,Sinnamary,GF,79.92,broken clouds,5.3833,-52.95,
271,Novo Aripuana,BR,91.36,few clouds,-5.1206,-60.3797,
272,Masuguru,TZ,74.79,broken clouds,-11.3667,38.4167,
273,Ilula,TZ,72.14,few clouds,-7.6766,36.0366,
275,Todos Santos,MX,89.91,broken clouds,23.45,-110.2167,
276,Talas,TR,68.67,scattered clouds,38.6908,35.5538,
277,Bayji,IQ,97.11,clear sky,34.9311,43.486999999999995,
278,Saint Anthony,US,81.91,clear sky,45.0205,-93.21799999999999,
281,Padilla,CO,72.97,overcast clouds,3.2204,-76.3139,
283,Toamasina,MG,73.4,light rain,-18.1667,49.3833,
284,Zabol,AF,84.22,clear sky,32.25,67.25,
285,Buala,SB,79.93,light rain,-8.145,159.5921,
286,Tautira,PF,77.02,clear sky,-17.7333,-149.15,
287,Nizhniy Kuranakh,RU,63.82,scattered clouds,58.8353,125.4869,
288,Sao Filipe,CV,77.16,broken clouds,14.8961,-24.4956,
289,Koltsovo,RU,69.19,moderate rain,54.9376,83.1825,
290,Price,US,74.46,clear sky,39.5994,-110.8107,
291,Eyl,SO,86.04,clear sky,7.9803,49.8164,
292,Casablanca,MA,84.42,scattered clouds,33.5928,-7.6192,
293,Thinadhoo,MV,83.46,few clouds,0.5333,72.9333,
295,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,
296,Hambantota,LK,82.74,clear sky,6.1241,81.1185,
297,Bondo,CD,75.07,overcast clouds,3.8146,23.6866,
300,Camacari,BR,82.17,few clouds,-12.6975,-38.3242,
301,Takaungu,KE,82.89,clear sky,-3.6837,39.8566,
302,El Alto,PE,69.46,overcast clouds,-4.2714,-81.2147,
303,Kendari,ID,76.17,scattered clouds,-3.945,122.4989,
304,Hanko,FI,76.33,broken clouds,59.8333,22.95,
306,Cabra,ES,89.04,clear sky,37.4725,-4.4421,
307,Basco,PH,82.54,overcast clouds,20.4487,121.9702,
308,Lodja,CD,81.9,overcast clouds,-3.4833,23.4333,
310,Linqiong,CN,80.42,light rain,30.4159,103.4609,
312,Xingyi,CN,63.03,light rain,24.1877,102.81700000000001,
313,Waspan,NI,83.88,broken clouds,14.7419,-83.9717,
314,Sao Sebastiao,BR,83.93,overcast clouds,-23.76,-45.4097,
315,Balkanabat,TM,82.83,clear sky,39.5108,54.3671,
316,Huarmey,PE,68.49,broken clouds,-10.0681,-78.1522,
317,Oktyabrskiy,RU,67.82,few clouds,54.4815,53.471000000000004,
318,Namatanai,PG,79.52,overcast clouds,-3.6667,152.4333,
320,Adeje,ES,75.87,few clouds,28.1227,-16.726,
321,Barra Do Garcas,BR,79.38,clear sky,-15.89,-52.2567,
324,Makakilo City,US,72.68,scattered clouds,21.3469,-158.0858,
325,Sobolevo,RU,67.08,broken clouds,54.4299,31.8996,
326,Luganville,VU,75.85,overcast clouds,-15.5333,167.1667,
327,West Bay,KY,88.07,few clouds,19.3667,-81.4167,
329,Nador,MA,82.47,few clouds,35.174,-2.9287,
330,Atherton,GB,70.36,overcast clouds,53.5237,-2.4935,
331,Maragogi,BR,80.96,scattered clouds,-9.0122,-35.2225,
332,Kirakira,SB,79.3,scattered clouds,-10.4544,161.9205,
334,Baza,ES,80.58,clear sky,37.4907,-2.7726,
336,Maryville,US,76.3,overcast clouds,35.7565,-83.9705,
338,Saldanha,ZA,70.66,scattered clouds,-33.0117,17.9442,
339,Boyolangu,ID,76.12,broken clouds,-8.1181,111.8935,
340,Muncie,US,80.26,overcast clouds,40.1934,-85.3864,
341,Ezhou,CN,74.44,broken clouds,30.4,114.8333,
343,Lazi,UA,64.8,broken clouds,48.0667,24.2333,
344,Fonte Boa,BR,86.23,overcast clouds,-2.4959,-66.2662,
345,Bertoua,CM,83.08,light rain,4.5833,13.6833,
346,Drumnadrochit,GB,64.78,broken clouds,57.3344,-4.4799,
347,San Julian,MX,68.56,broken clouds,21.0167,-102.1667,
348,Vila Velha,BR,82.96,scattered clouds,-20.3297,-40.2925,
349,Nizhniy Chir,RU,69.91,broken clouds,48.3597,43.0865,
351,Plouzane,FR,64.49,overcast clouds,48.3833,-4.6167,
353,Chau Doc,VN,82.53,overcast clouds,10.7,105.1167,
354,Chiapilla,MX,69.6,overcast clouds,16.5167,-92.7333,
355,Hualmay,PE,67.06,overcast clouds,-11.0964,-77.6139,
356,Houston,US,83.97,overcast clouds,29.7633,-95.3633,
357,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,
358,Padre Bernardo,BR,83.48,overcast clouds,-15.35,-48.5,
360,Tarsus,TR,89.98,clear sky,36.9188,34.8784,
363,Roros,NO,66.04,broken clouds,62.5747,11.3842,
365,San Patricio,US,83.91,clear sky,28.017,-97.5169,
368,Guilin,CN,75.31,clear sky,25.2819,110.2864,
371,Souillac,MU,76.35,light rain,-20.5167,57.5167,
372,Libreville,GA,84.22,light rain,0.3925,9.4537,
373,Bonavista,CA,60.8,light rain,48.6499,-53.1147,
374,Phan Thiet,VN,81.99,overcast clouds,10.9333,108.1,
375,Talara,PE,72.36,few clouds,-4.5772,-81.2719,
